match_id,tourney_id,tourney_name,tourney_date,match_num,draw_size,tourney_level,best_of,round,minutes,player_id,player_name,seed,rank,rank_points,age,height,hand,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,1stWon_pct,WIN,surface_Clay,surface_Grass,surface_Hard
2023-1005-275,2023-1005,Rabat,20230522,275,32,I,3,R32,73.0,259753,Malak El Allami,9.024390243902438,-2.1500145385061463e-17,1624.8096828046744,16.8,174.55169772785294,0,0.0,2.0,48.0,31.0,18.0,6.0,9.0,1.0,6.0,0.5806451612903226,0,1,0,0
2023-1005-276,2023-1005,Rabat,20230522,276,32,I,3,R32,129.0,214459,Lucia Bronzetti,9.024390243902438,0.6056487037651039,637.0,24.4,174.55169772785294,0,2.0,2.0,74.0,51.0,32.0,9.0,11.0,3.0,8.0,0.6274509803921569,1,1,0,0
2023-1005-276,2023-1005,Rabat,20230522,276,32,I,3,R32,129.0,202490,Rebecca Peterson,9.024390243902438,-0.0545727256259453,730.0,27.7,173.0,0,0.0,7.0,98.0,59.0,29.0,16.0,11.0,9.0,15.0,0.4915254237288136,0,1,0,0
2023-1005-277,2023-1005,Rabat,20230522,277,32,I,3,R32,163.0,213583,Tatjana Maria,8.0,0.0937996977753021,855.0,35.7,172.0,0,2.0,3.0,104.0,63.0,39.0,21.0,15.0,3.0,8.0,0.6190476190476191,1,1,0,0
2023-1005-277,2023-1005,Rabat,20230522,277,32,I,3,R32,163.0,236955,Tatiana Prozorova,9.024390243902438,1.6148380969960243,225.0,19.6,174.55169772785294,0,1.0,6.0,106.0,63.0,32.0,20.0,15.0,5.0,14.0,0.5079365079365079,0,1,0,0
2023-1005-278,2023-1005,Rabat,20230522,278,32,I,3,R32,90.0,201709,Yulia Putintseva,6.0,0.0533905657234756,916.0,28.3,163.0,0,1.0,2.0,79.0,63.0,41.0,5.0,8.0,8.0,9.0,0.6507936507936508,1,1,0,0
2023-1005-278,2023-1005,Rabat,20230522,278,32,I,3,R32,90.0,223671,Aya El Aouni,9.024390243902438,9.446949568302085,6.0,17.8,174.55169772785294,0,2.0,6.0,57.0,29.0,15.0,11.0,9.0,4.0,9.0,0.5172413793103449,0,1,0,0
2023-1005-281,2023-1005,Rabat,20230522,281,32,I,3,R32,93.0,210886,Mayar Sherif,3.0,-0.0274276983801772,973.0,27.0,180.0,0,3.0,0.0,46.0,32.0,26.0,7.0,8.0,1.0,1.0,0.8125,1,1,0,0
2023-1005-281,2023-1005,Rabat,20230522,281,32,I,3,R32,93.0,203462,Kateryna Baindl,9.024390243902438,-0.1044058845101832,748.0,29.2,175.0,0,0.0,2.0,69.0,59.0,31.0,4.0,8.0,6.0,10.0,0.5254237288135594,0,1,0,0
2023-1005-282,2023-1005,Rabat,20230522,282,32,I,3,R32,153.0,201666,Cagla Buyukakcay,9.024390243902438,2.7742721238797903,261.0,33.6,172.0,0,0.0,1.0,71.0,55.0,30.0,6.0,11.0,3.0,9.0,0.5454545454545454,1,1,0,0
